Label,Total Backward Packets,Bwd Packet Length Max,Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Fwd Packet Length Max,Bwd IAT Total,Fwd IAT Total
PortScan,1.0,6.0,38.0,210526.3158,52631.57895,1.0,2.0,0.0,0.0
DoS Hulk,6.0,5792.0,100043447.0,122.8566225,0.129943543,7.0,339.0,359216.0,99900000.0
PortScan,1.0,6.0,73.0,109589.0411,27397.26027,1.0,2.0,0.0,0.0
BENIGN,1.0,6.0,205.0,1395121.951,14634.14634,2.0,274.0,0.0,205.0
DDoS,6.0,4380.0,1815721.0,6403.51684,4.956708657,3.0,20.0,1815717.0,8056.0
DoS Slowhttptest,2.0,0.0,83382945.0,62.36287289,0.239857203,18.0,520.0,31500000.0,83400000.0
BENIGN,2.0,46.0,151.0,1006622.517,26490.06623,2.0,30.0,3.0,3.0
DDoS,6.0,5840.0,796007.0,14606.65547,11.30643323,3.0,20.0,795547.0,10936.0
BENIGN,2.0,197.0,70928.0,6570.042860365441,56.39521768554026,2.0,36.0,4.0,1.0
DoS Hulk,7.0,5792.0,99232665.0,120.1822001,0.120927922,5.0,319.0,99200000.0,99100000.0
DoS Hulk,0.0,0.0,5.0,0.0,400000.0,2.0,0.0,0.0,5.0
DoS Hulk,2.0,0.0,13227.0,907.2352007,302.4117336,2.0,6.0,13201.0,1246.0
BENIGN,11.0,1605.0,31588042.0,308.0279556,0.854753834,16.0,485.0,964962.0,31600000.0
DoS Hulk,0.0,0.0,3.0,0.0,666666.6667,2.0,0.0,0.0,3.0
BENIGN,2.0,2.0,48.0,333333.3333,83333.33333,2.0,6.0,3.0,48.0
PortScan,1.0,6.0,55.0,109090.9091,36363.63636,1.0,0.0,0.0,0.0
BENIGN,0.0,0.0,87.0,137931.0345,22988.50575,2.0,6.0,0.0,87.0
BENIGN,0.0,0.0,597.0,72026.80067,5025.125628,3.0,31.0,0.0,597.0
PortScan,1.0,6.0,31.0,258064.5161,64516.12903,1.0,2.0,0.0,0.0
BENIGN,2.0,71.0,191.0,1193717.277,20942.40838,2.0,43.0,48.0,48.0
BENIGN,2.0,84.0,31152.0,10785.82435,192.6040062,4.0,42.0,4.0,30679.0
BENIGN,2.0,165.0,23921.0,16554.49187,167.2170896,2.0,33.0,4.0,3.0
DDoS,4.0,8760.0,165802.0,70125.81272,42.21903234,3.0,20.0,165750.0,9037.0
DDoS,0.0,0.0,4031911.0,5.952512345,0.992085391,4.0,6.0,0.0,4031911.0
BENIGN,2.0,0.0,79019.0,0.0,37.96555259,1.0,0.0,887.0,0.0
BENIGN,0.0,0.0,3.0,4000000.0,666666.6667,2.0,6.0,0.0,3.0
DoS Hulk,8.0,4344.0,83937464.0,146.0492063,0.190618101,8.0,320.0,83900000.0,83800000.0
BENIGN,2.0,82.0,199.0,1226130.653,20100.50251,2.0,40.0,49.0,1.0
BENIGN,7.0,1410.0,271892.0,16149.79477,58.84689509,9.0,198.0,183852.0,271892.0
BENIGN,2.0,285.0,30999.0,20258.71802316204,129.0364205296945,2.0,29.0,3.0,3.0
DoS Hulk,6.0,5792.0,84996929.0,141.0403898,0.141181571,6.0,375.0,158342.0,84900000.0
DoS Hulk,7.0,4344.0,85355152.0,139.593214,0.140589053,5.0,308.0,85400000.0,85200000.0
BENIGN,2.0,175.0,238.0,1773109.244,16806.72269,2.0,36.0,3.0,49.0
BENIGN,2.0,23.0,207.0,444444.4444,19323.6715,2.0,23.0,48.0,48.0
BENIGN,0.0,0.0,108.0,111111.11111111112,18518.51851851852,2.0,6.0,0.0,108.0
BENIGN,2.0,185.0,94897866.0,4.130756744,0.042150579,2.0,57.0,94900000.0,94800000.0
DDoS,6.0,4380.0,1787414.0,6508.285154,5.035207288,3.0,20.0,1787412.0,691.0
BENIGN,2.0,81.0,1208772.0,186.9666074,3.309143494,2.0,32.0,3.0,4.0
BENIGN,1.0,240.0,60650.0,4699.0931574608,32.9760923331,1.0,45.0,0.0,0.0
PortScan,1.0,6.0,14.0,428571.4286,142857.1429,1.0,0.0,0.0,0.0
BENIGN,2.0,56.0,48553.0,3954.441538,82.38419871,2.0,40.0,3.0,190.0
DoS Hulk,0.0,0.0,3.0,0.0,666666.6667,2.0,0.0,0.0,3.0
DoS Hulk,6.0,5792.0,86780297.0,137.3237983,0.14980359,7.0,322.0,167594.0,86600000.0
DoS Hulk,6.0,5792.0,86155033.0,138.6338045,0.150890778,7.0,343.0,191400.0,86000000.0
BENIGN,4.0,121.0,90052386.0,9.72767118,0.13325577,8.0,98.0,90000000.0,90100000.0
BENIGN,1.0,114.0,43759.0,3793.505336,45.70488357,1.0,52.0,0.0,0.0
BENIGN,14.0,1393.0,65527703.0,96.14254295,0.457821633,16.0,487.0,65400000.0,61200000.0
BENIGN,1.0,6.0,25.0,480000.0,80000.0,1.0,6.0,0.0,0.0
BENIGN,2.0,150.0,61278.0,6135.970495,65.27628186,2.0,38.0,48.0,3.0
BENIGN,2.0,51.0,48063.0,3578.636373,83.2241017,2.0,35.0,4.0,4.0
BENIGN,2.0,119.0,66108713.0,4.885891516,0.060506396,2.0,51.0,66000000.0,66100000.0
DoS Hulk,7.0,5792.0,100901542.0,118.5214791,0.158570421,9.0,364.0,151324.0,101000000.0
BENIGN,2.0,61.0,199.0,1065326.633,20100.50251,2.0,45.0,48.0,3.0
DDoS,0.0,0.0,5139867.0,4.669381523,0.778230254,4.0,6.0,0.0,5139867.0
